discipline,question_template,type
Общие,Какова основная цель исследования?,Понимание
Общие,Какую проблему решает данное исследование?,Понимание
Общие,Каковы ключевые выводы авторов?,Анализ
Общие,Какие ограничения признают авторы?,Критика
Общие,Как результаты соотносятся с предыдущими работами?,Сравнение
Компьютерные науки,Какие метрики использовались для оценки модели?,Анализ
Компьютерные науки,Как модель сравнивается с baseline-подходами?,Сравнение
Компьютерные науки,Каков размер и состав датасета?,Понимание
Компьютерные науки,Какие направления дальнейших исследований предложены?,Применение
Биология,Какова гипотеза исследования?,Понимание
Биология,Какой организм/клеточная линия использовались?,Понимание
Биология,Какова статистическая значимость результатов?,Анализ
Физика,Какой теоретический аппарат применён?,Понимание
Физика,Каковы погрешности измерений?,Анализ
Медицина,Каков дизайн исследования (RCT, когорта, кейс-контроль)?,Понимание
Медицина,Каковы побочные эффекты и их частота?,Критика
Психология,Какой конструкт измеряется и каким инструментом?,Понимание
Психология,Какова экологическая валидность результатов?,Критика
Экономика,Какова спецификация эконометрической модели?,Анализ
Экономика,Какие контрольные переменные включены?,Анализ
Филология,Какой теоретический подход применён к тексту?,Понимание
Филология,Какие ключевые цитаты подтверждают тезис автора?,Анализ
