domain,formulation,use_case
Общие,"Целью данного исследования является...","Введение"
Общие,"Авторы ставят перед собой задачу...","Введение"
Общие,"Важно отметить, что в тексте статьи отсутствует информация о...","Ограничения"
Общие,"Авторы приходят к выводу, что...","Выводы"
Методология,"В исследовании использована методология...","Методы"
Методология,"Выборка составила N = ..., включающая...","Методы"
Методология,"Для анализа применялся метод...","Методы"
Результаты,"Полученные результаты демонстрируют...","Результаты"
Результаты,"Статистически значимые различия обнаружены (p < ...)","Результаты"
Результаты,"Показатели составили: X = ..., Y = ...","Результаты"
Результаты,"В отличие от предыдущих исследований, авторы показали...","Результаты"
Сравнение,"В сопоставлении с работой [автор, год] данное исследование...","Результаты"
Ограничения,"Необходимо отметить следующие ограничения: ...","Выводы"
Ограничения,"Авторы указывают на необходимость дальнейших исследований в области...","Выводы"
